Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_Pdn(yds),Rejection,warp_count,weft_count,epi,ppi
30x30/110x62,25100.0,8.0,30309.123999999996,10.0,TOTAL,27282.608695652172,27719.467503507454,24517,477,30,30.0,110,62
40x40/130x90,1000.0,13.3,1366.9999999999998,15.7,TOTAL,1153.4025374855823,1251.1080726400191,1111,16,40,40.0,130,90
40x40/130x90,1100.0,8.3,1421.6799999999998,17.5,TOTAL,1199.5637949836423,1329.5690574179716,1089,8,40,40.0,130,90
40x40/130x90,1000.0,13.3,1362.6255999999998,17.2,TOTAL,1153.4025374855823,1273.7730739559618,1110,17,40,40.0,130,90
50x50/120x100,1000.0,13.0,1339.6599999999999,16.2,TOTAL,1149.4252873563219,1254.2330113285739,1154,15,50,50.0,120,100
60x60/160x90,1100.0,8.5,1364.8128,14.1,TOTAL,1202.1857923497269,1279.734640181595,1114,32,60,60.0,160,90
40x40/120x80,6750.0,7.0,8322.295999999998,12.5,TOTAL,7258.064516129032,7584.977025947365,2266,6,40,40.0,120,80
40x40/110x70,6706.0,7.0,8054.364,10.0,TOTAL,7210.752688172043,7326.213817942823,4004,47,40,40.0,110,70
40x40/110x70,6706.0,7.0,4445.4839999999995,10.2,TOTAL,7210.752688172043,7342.530552503943,1154,4,40,40.0,110,70
40x40/120x80,5588.0,7.0,6944.36,12.5,TOTAL,6008.602150537635,6279.237277184277,5725,74,40,40.0,120,80
40x40/120x80,2956.0,7.0,3652.624,12.5,TOTAL,3178.494623655914,3321.658087214875,1617,5,40,40.0,120,80
40x40/120x80,2780.0,7.0,3406.564,12.5,TOTAL,2989.2473118279568,3123.8868343901736,1089,83,40,40.0,120,80
20x20/82x64,1410.0,10.0,1891.9279999999999,17.5,TOTAL,1566.6666666666667,1736.4574789593082,1471,29,20,20.0,82,64
30+20/2x30/100x60,3357.0,7.3,4166.616,12.0,TOTAL,3621.359223300971,3762.9672051657694,1002,83,double_40,30.0,100,60
40x40/144x106,9311.0,7.0,11285.952,10.0,TOTAL,10011.827956989247,10172.14089753439,646,3,40,40.0,144,106
40x40/120x90,4750.0,8.0,6124.16,14.5,TOTAL,5163.04347826087,5521.806275599095,3688,11,40,40.0,120,90
40x40/120x90,2800.0,8.0,3570.604,14.5,TOTAL,3043.478260869565,3254.959488774203,1893,0,40,40.0,120,90
40x40/120x90,6120.0,8.0,7873.919999999999,14.5,TOTAL,6652.173913043478,7114.411454035043,2928,4,40,40.0,120,90
40x40/120x80,5588.0,8.0,2952.72,12.5,TOTAL,6073.913043478261,6347.489856284105,129,2,40,40.0,120,80
40x40/120x80,5075.0,8.0,2952.72,12.5,TOTAL,5516.304347826087,5764.765751725454,210,0,40,40.0,120,80
50x50/140x80,6750.0,8.0,6373.5008,12.0,TOTAL,7336.95652173913,7623.857528241931,900,0,50,50.0,140,80
40x40/110x90,6750.0,8.0,138.88719999999998,12.0,TOTAL,7336.95652173913,7623.857528241931,82,0,40,40.0,110,90
40x40/110x90,6750.0,10.2,136.7,17.0,TOTAL,7516.703786191537,8281.153641109651,110,0,40,40.0,110,90
40x40/120x90,590.0,12.0,7463.82,18.1,TOTAL,670.4545454545455,748.5605510477493,6253,146,40,40.0,120,90
40x40/110x90,500.0,12.0,6348.347999999999,18.0,TOTAL,568.1818181818181,633.5997223109825,5391,134,40,40.0,110,90
40x40/120x90,44350.0,6.0,241477.816,8.0,TOTAL,47180.85106382979,46894.233508625075,208910,3161,40,40.0,120,90
40x40/110x90,2600.0,6.8,157293.58159999998,14.1,TOTAL,2789.6995708154504,2969.65344224738,132127,1600,40,40.0,110,90
40x40/110x90,3200.0,7.3,122611.1512,14.7,TOTAL,3451.9956850053936,3700.5196224322453,99796,2088,40,40.0,110,90
40x40/140x94,1300.0,10.0,9429.019199999999,10.7,TOTAL,1444.4444444444443,1479.0773360843261,8215,277,40,40.0,140,94
30x30/100x70,1950.0,8.0,2482.4719999999998,14.6,TOTAL,2119.5652173913045,2269.5011741630938,1963,39,30,30.0,100,70
30x30/100x70,1950.0,8.0,2509.812,15.0,TOTAL,2119.5652173913045,2280.1811796885677,2253,130,30,30.0,100,70
40x40/120x80,1800.0,8.1,2285.624,14.0,TOTAL,1958.650707290533,2082.572076107217,1876,10,40,40.0,120,80
40x40/120x80,1800.0,8.1,2258.2839999999997,14.0,TOTAL,1958.650707290533,2082.572076107217,1969,7,40,40.0,120,80
40x40/120x80,1800.0,8.1,2269.22,14.0,TOTAL,1958.650707290533,2082.572076107217,1882,16,40,40.0,120,80
40x60/130x90,1800.0,9.1,2252.816,13.5,TOTAL,1980.19801980198,2093.31224000277,1219,10,60,60.0,130,90
40x40/120x70,600.0,11.0,765.52,15.0,TOTAL,674.1573033707865,725.2434521394924,471,29,40,40.0,120,70
40x40/130x90,1900.0,8.9,2274.6879999999996,9.5,TOTAL,2085.6201975850713,2107.3086178802955,2003,0,40,40.0,130,90
40x60/130x90,4000.0,8.1,5046.964,12.0,TOTAL,4352.557127312296,4522.757539020724,4123,26,60,60.0,130,90
40x60/130x90,4000.0,8.0,4915.732,12.1,TOTAL,4347.826086956522,4522.981249637483,4030,78,60,60.0,130,90
40x40/130x80,400.0,14.0,5965.588,19.0,TOTAL,465.1162790697674,525.0709843463737,4828,140,40,40.0,130,80
40x40/130x80,1750.0,9.4,11417.184,15.3,TOTAL,1931.5673289183223,2085.297099317703,9231,266,40,40.0,130,80
40x40/130x80,7100.0,8.0,9022.199999999999,14.0,TOTAL,7717.391304347826,8205.66095373912,7451,60,40,40.0,130,80
40x40/130x80,4000.0,8.0,5085.24,14.0,TOTAL,4347.826086956522,4622.907579571335,4187,31,40,40.0,130,80
40x40/130x80,2600.0,8.1,3317.9824,14.0,TOTAL,2829.1621327529924,3008.159665488203,2720,4,40,40.0,130,80
40x40/130x80,2300.0,8.0,2843.3599999999997,12.1,TOTAL,2500.0,2600.714218541553,2559,46,40,40.0,130,80
40x40/120x90,3550.0,8.0,4532.972,14.6,TOTAL,3858.695652173913,4131.655983732811,3890,22,40,40.0,120,90
40x40/120x100,10310.0,7.1,12669.356,12.0,TOTAL,11097.954790096877,11531.92416008936,8413,158,40,40.0,120,100
40x40/130x100,10700.0,8.0,13374.728,12.0,TOTAL,11630.434782608696,12085.226007731655,10179,160,40,40.0,130,100
40x40/120x90,6550.0,6.5,7611.455999999999,8.0,TOTAL,7005.347593582887,6962.79101489982,6471,54,40,40.0,120,90
40x40/130x80,1300.0,10.0,1684.1439999999998,16.0,TOTAL,1444.4444444444443,1572.4000727658374,1381,31,40,40.0,130,80
40x40/130x80,1300.0,10.0,1684.1439999999998,16.0,TOTAL,1444.4444444444443,1572.4000727658374,1413,125,40,40.0,130,80
40x40/110x70,2750.0,7.0,3417.4999999999995,13.6,TOTAL,2956.989247311828,3129.5183416813866,2903,98,40,40.0,110,70
40x40/130x80,900.0,10.8,4680.607999999999,16.2,TOTAL,1008.9686098654709,1100.9691119621898,2282,91,40,40.0,130,80
40x50/130x80,2150.0,8.2,2679.3199999999997,13.4,TOTAL,2342.0479302832246,2472.973059171084,2247,39,50,50.0,130,80
40x50/130x80,1200.0,9.8,1552.9119999999998,15.0,TOTAL,1330.3769401330376,1431.1899609848076,1263,9,50,50.0,130,80
40x40/120x80,2500.0,7.8,3138.6319999999996,13.0,TOTAL,2711.4967462039044,2849.911235068723,2631,16,40,40.0,120,80
40x40/120x80,2000.0,7.8,2504.3439999999996,13.4,TOTAL,2169.1973969631235,2290.459837884331,2070,37,40,40.0,120,80
40x50/130x80,1900.0,8.9,2405.9199999999996,14.3,TOTAL,2085.6201975850713,2225.337571973941,1955,48,50,50.0,130,80
30x30/110x62,25100.0,8.0,30309.123999999996,10.0,TOTAL,27282.608695652172,27719.467503507454,24691,477,30,30.0,110,62
40x40/130x90,1000.0,13.3,1366.9999999999998,15.7,TOTAL,1153.4025374855823,1251.1080726400191,1111,16,40,40.0,130,90
40x40/130x90,1100.0,8.3,1421.6799999999998,17.5,TOTAL,1199.5637949836423,1329.5690574179716,1149,8,40,40.0,130,90
40x40/130x90,1000.0,13.3,1362.6255999999998,17.2,TOTAL,1153.4025374855823,1273.7730739559618,1110,17,40,40.0,130,90
50x50/120x100,1000.0,13.0,1339.6599999999999,16.2,TOTAL,1149.4252873563219,1254.2330113285739,1154,15,50,50.0,120,100
60x60/160x90,1100.0,8.5,1364.8128,14.1,TOTAL,1202.1857923497269,1279.734640181595,1114,32,60,60.0,160,90
40x40/120x80,6750.0,7.0,8322.295999999998,12.5,TOTAL,7258.064516129032,7584.977025947365,3000,6,40,40.0,120,80
40x40/110x70,6706.0,7.0,8054.364,10.0,TOTAL,7210.752688172043,7326.213817942823,4649,47,40,40.0,110,70
40x40/110x70,6706.0,7.0,6599.875999999999,10.2,TOTAL,7210.752688172043,7342.530552503943,1662,4,40,40.0,110,70
40x40/120x80,5588.0,7.0,6944.36,12.5,TOTAL,6008.602150537635,6279.237277184277,5725,74,40,40.0,120,80
40x40/120x80,2956.0,7.0,3652.624,12.5,TOTAL,3178.494623655914,3321.658087214875,1790,5,40,40.0,120,80
40x40/120x80,2780.0,7.0,3406.564,12.5,TOTAL,2989.2473118279568,3123.8868343901736,1289,83,40,40.0,120,80
20x20/82x64,1410.0,10.0,1891.9279999999999,17.5,TOTAL,1566.6666666666667,1736.4574789593082,1526,51,20,20.0,82,64
20x20/82x64,1339.0,10.2,1793.504,17.5,TOTAL,1491.0913140311804,1652.6914876983226,30,0,20,20.0,82,64
30+20/2x30/100x60,3357.0,7.3,4166.616,12.0,TOTAL,3621.359223300971,3762.9672051657694,1213,90,double_40,30.0,100,60
40x40/144x106,9311.0,7.0,11285.952,10.0,TOTAL,10011.827956989247,10172.14089753439,1178,3,40,40.0,144,106
40x40/120x90,4750.0,8.0,6124.16,14.5,TOTAL,5163.04347826087,5521.806275599095,4047,11,40,40.0,120,90
40x40/120x90,2800.0,8.0,3570.604,14.5,TOTAL,3043.478260869565,3254.959488774203,2198,0,40,40.0,120,90
40x40/120x90,6120.0,8.0,7873.919999999999,14.5,TOTAL,6652.173913043478,7114.411454035043,3386,4,40,40.0,120,90
40x40/120x80,5588.0,8.0,2952.72,12.5,TOTAL,6073.913043478261,6347.489856284105,312,2,40,40.0,120,80
40x40/120x80,5075.0,8.0,5861.696,12.5,TOTAL,5516.304347826087,5764.765751725454,479,4,40,40.0,120,80
50x40/130x80,3050.0,8.1,1859.12,12.0,TOTAL,3318.8248095756253,3448.602623503302,45,0,40,40.0,130,80
50x50/140x80,3500.0,8.0,9654.300799999999,12.0,TOTAL,3804.3478260869565,3953.111310940261,1359,15,50,50.0,140,80
40x40/110x90,3500.0,10.2,136.7,17.0,TOTAL,3897.5501113585747,4293.931517612413,110,0,40,40.0,110,90
40x40/110x80,3500.0,8.0,87.488,12.0,TOTAL,3804.3478260869565,3953.111310940261,61,0,40,40.0,110,80
40x40/110x90,3500.0,8.0,138.88719999999998,12.0,TOTAL,3804.3478260869565,3953.111310940261,95,0,40,40.0,110,90
40x40/120x90,590.0,12.0,7463.82,18.1,TOTAL,670.4545454545455,748.5605510477493,6253,146,40,40.0,120,90
40x40/110x90,500.0,12.0,6348.347999999999,18.0,TOTAL,568.1818181818181,633.5997223109825,5391,134,40,40.0,110,90
40x40/120x90,44350.0,6.0,241477.816,8.0,TOTAL,47180.85106382979,46894.233508625075,209486,3161,40,40.0,120,90
40x40/110x90,2600.0,6.8,157293.58159999998,14.1,TOTAL,2789.6995708154504,2969.65344224738,132127,1600,40,40.0,110,90
40x40/110x90,3200.0,7.3,122611.1512,14.7,TOTAL,3451.9956850053936,3700.5196224322453,100256,2116,40,40.0,110,90
40x40/140x94,1300.0,10.0,9429.019199999999,10.7,TOTAL,1444.4444444444443,1479.0773360843261,8215,277,40,40.0,140,94
30x30/100x70,1950.0,8.0,2482.4719999999998,14.6,TOTAL,2119.5652173913045,2269.5011741630938,2037,39,30,30.0,100,70
30x30/100x70,1950.0,8.0,2509.812,15.0,TOTAL,2119.5652173913045,2280.1811796885677,2253,130,30,30.0,100,70
40x40/120x80,1800.0,8.1,2285.624,14.0,TOTAL,1958.650707290533,2082.572076107217,1876,10,40,40.0,120,80
40x40/120x80,1800.0,8.1,2258.2839999999997,14.0,TOTAL,1958.650707290533,2082.572076107217,1969,7,40,40.0,120,80
40x40/120x80,1800.0,8.1,2269.22,14.0,TOTAL,1958.650707290533,2082.572076107217,1882,32,40,40.0,120,80
40x60/130x90,1800.0,9.1,2252.816,13.5,TOTAL,1980.19801980198,2093.31224000277,1414,14,60,60.0,130,90
40x40/120x70,600.0,11.0,765.52,15.0,TOTAL,674.1573033707865,725.2434521394924,611,37,40,40.0,120,70
40x40/130x90,1900.0,8.9,2274.6879999999996,9.5,TOTAL,2085.6201975850713,2107.3086178802955,2003,0,40,40.0,130,90
40x60/130x90,4000.0,8.1,5046.964,12.0,TOTAL,4352.557127312296,4522.757539020724,4137,26,60,60.0,130,90
40x60/130x90,4000.0,8.0,4915.732,12.1,TOTAL,4347.826086956522,4522.981249637483,4030,78,60,60.0,130,90
40x40/130x80,400.0,14.0,5965.588,19.0,TOTAL,465.1162790697674,525.0709843463737,4828,140,40,40.0,130,80
40x40/130x80,1750.0,9.4,11417.184,15.3,TOTAL,1931.5673289183223,2085.297099317703,9415,266,40,40.0,130,80
40x40/130x80,7100.0,8.0,9022.199999999999,14.0,TOTAL,7717.391304347826,8205.66095373912,7451,60,40,40.0,130,80
40x40/130x80,4000.0,8.0,5085.24,14.0,TOTAL,4347.826086956522,4622.907579571335,4187,31,40,40.0,130,80
40x40/130x80,2600.0,8.1,3317.9824,14.0,TOTAL,2829.1621327529924,3008.159665488203,2720,4,40,40.0,130,80
40x40/130x80,2300.0,8.0,2843.3599999999997,12.1,TOTAL,2500.0,2600.714218541553,2559,46,40,40.0,130,80
40x40/120x90,3550.0,8.0,4532.972,14.6,TOTAL,3858.695652173913,4131.655983732811,3890,22,40,40.0,120,90
40x40/120x100,10310.0,7.1,12669.356,12.0,TOTAL,11097.954790096877,11531.92416008936,8754,158,40,40.0,120,100
40x40/130x100,10700.0,8.0,13374.728,12.0,TOTAL,11630.434782608696,12085.226007731655,10637,175,40,40.0,130,100
40x40/120x90,6550.0,6.5,7611.455999999999,8.0,TOTAL,7005.347593582887,6962.79101489982,6624,54,40,40.0,120,90
40x40/130x80,1300.0,10.0,1684.1439999999998,16.0,TOTAL,1444.4444444444443,1572.4000727658374,1381,31,40,40.0,130,80
40x40/130x80,1300.0,10.0,1684.1439999999998,16.0,TOTAL,1444.4444444444443,1572.4000727658374,1413,125,40,40.0,130,80
40x40/110x70,2750.0,7.0,3417.4999999999995,13.6,TOTAL,2956.989247311828,3129.5183416813866,2903,98,40,40.0,110,70
40x40/130x80,900.0,10.8,4680.607999999999,16.2,TOTAL,1008.9686098654709,1100.9691119621898,2413,93,40,40.0,130,80
40x50/130x80,2150.0,8.2,2679.3199999999997,13.4,TOTAL,2342.0479302832246,2472.973059171084,2247,39,50,50.0,130,80
40x50/130x80,1200.0,9.8,1552.9119999999998,15.0,TOTAL,1330.3769401330376,1431.1899609848076,1263,13,50,50.0,130,80
40x40/120x80,2500.0,7.8,3138.6319999999996,13.0,TOTAL,2711.4967462039044,2849.911235068723,2631,16,40,40.0,120,80
40x40/120x80,2000.0,7.8,2504.3439999999996,13.4,TOTAL,2169.1973969631235,2290.459837884331,2070,37,40,40.0,120,80
40x50/130x80,1900.0,8.9,2405.9199999999996,14.3,TOTAL,2085.6201975850713,2225.337571973941,1955,48,50,50.0,130,80
30x30/110x62,25100.0,8.0,30309.123999999996,10.0,TOTAL,27282.608695652172,27719.467503507454,24709,487,30,30.0,110,62
40x40/130x90,1000.0,13.3,1366.9999999999998,15.7,TOTAL,1153.4025374855823,1251.1080726400191,1111,16,40,40.0,130,90
40x40/130x90,1100.0,8.3,1421.6799999999998,17.5,TOTAL,1199.5637949836423,1329.5690574179716,1149,8,40,40.0,130,90
40x40/130x90,1000.0,13.3,1362.6255999999998,17.2,TOTAL,1153.4025374855823,1273.7730739559618,1110,17,40,40.0,130,90
50x50/120x100,1000.0,13.0,1339.6599999999999,16.2,TOTAL,1149.4252873563219,1254.2330113285739,1154,15,50,50.0,120,100
60x60/160x90,1100.0,8.5,1364.8128,14.1,TOTAL,1202.1857923497269,1279.734640181595,1114,32,60,60.0,160,90
40x40/120x80,6750.0,7.0,8322.295999999998,12.5,TOTAL,7258.064516129032,7584.977025947365,3745,14,40,40.0,120,80
40x40/110x70,6706.0,7.0,8054.364,10.0,TOTAL,7210.752688172043,7326.213817942823,5253,51,40,40.0,110,70
40x40/110x70,6706.0,7.0,6599.875999999999,10.2,TOTAL,7210.752688172043,7342.530552503943,2322,4,40,40.0,110,70
40x40/120x80,5588.0,7.0,6944.36,12.5,TOTAL,6008.602150537635,6279.237277184277,5725,74,40,40.0,120,80
40x40/120x80,2956.0,7.0,3652.624,12.5,TOTAL,3178.494623655914,3321.658087214875,1951,5,40,40.0,120,80
40x40/120x80,2780.0,7.0,3406.564,12.5,TOTAL,2989.2473118279568,3123.8868343901736,1490,83,40,40.0,120,80
20x20/82x64,1410.0,10.0,1891.9279999999999,17.5,TOTAL,1566.6666666666667,1736.4574789593082,1526,51,20,20.0,82,64
20x20/82x64,1339.0,10.2,1793.504,17.5,TOTAL,1491.0913140311804,1652.6914876983226,30,0,20,20.0,82,64
30+20/2x30/100x60,3357.0,7.3,4166.616,12.0,TOTAL,3621.359223300971,3762.9672051657694,1437,99,double_40,30.0,100,60
40x40/144x106,9311.0,7.0,11285.952,10.0,TOTAL,10011.827956989247,10172.14089753439,1737,3,40,40.0,144,106
40x40/120x90,4750.0,8.0,6124.16,14.5,TOTAL,5163.04347826087,5521.806275599095,4400,11,40,40.0,120,90
40x40/120x90,2800.0,8.0,3570.604,14.5,TOTAL,3043.478260869565,3254.959488774203,2517,0,40,40.0,120,90
40x40/120x90,6120.0,8.0,7873.919999999999,14.5,TOTAL,6652.173913043478,7114.411454035043,3861,4,40,40.0,120,90
40x40/120x80,5588.0,8.0,2952.72,12.5,TOTAL,6073.913043478261,6347.489856284105,500,2,40,40.0,120,80
40x40/120x80,5075.0,8.0,5861.696,12.5,TOTAL,5516.304347826087,5764.765751725454,856,4,40,40.0,120,80
50x40/130x80,3050.0,8.1,3783.8559999999998,12.0,TOTAL,3318.8248095756253,3448.602623503302,347,3,40,40.0,130,80
50x50/100x84,600.0,11.0,749.116,14.0,TOTAL,674.1573033707865,716.8103887425216,85,3,50,50.0,100,84
50x50/140x80,1500.0,8.0,14236.484799999998,12.0,TOTAL,1630.4347826086957,1694.1905618315402,2042,17,50,50.0,140,80
40x40/110x90,1500.0,10.2,136.7,17.0,TOTAL,1670.378619153675,1840.2563646910337,110,0,40,40.0,110,90
40x40/110x80,1500.0,8.0,87.488,12.0,TOTAL,1630.4347826086957,1694.1905618315402,61,0,40,40.0,110,80
50x40x/156x100,1500.0,8.0,147.636,12.0,TOTAL,1630.4347826086957,1694.1905618315402,89,0,40,40.0,156,100
40x40/110x90,1500.0,8.0,138.88719999999998,12.0,TOTAL,1630.4347826086957,1694.1905618315402,95,0,40,40.0,110,90
